[ 2024-07-09 03:54:31,081  21 COMPONENTS - INFO - Starting Data Ingestion]
[ 2024-07-09 03:54:32,153  25 COMPONENTS - INFO - Data Ingestion completed]
[ 2024-07-09 03:54:32,154  28 COMPONENTS - INFO - Text Cleaning and Preprocessing Started]
[ 2024-07-09 03:54:32,154  29 COMPONENTS - INFO - Removing all the NaN values from the title column]
[ 2024-07-09 03:54:32,341  35 COMPONENTS - INFO - Removed all NaN Values from title column]
[ 2024-07-09 03:54:32,342  36 COMPONENTS - INFO - Applying the function to concatenate two columns to form Single Title Description]
[ 2024-07-09 03:54:32,581  40 COMPONENTS - INFO - Function applied]
[ 2024-07-09 03:54:32,581  41 COMPONENTS - INFO - Removing duplicates]
[ 2024-07-09 03:54:32,603  45 COMPONENTS - INFO - Removed duplicates from titleDesc Column]
[ 2024-07-09 03:54:32,603  46 COMPONENTS - INFO - Dropping unnecessary Columns]
[ 2024-07-09 03:54:32,614  50 COMPONENTS - INFO - Dropped unnecessary Columns. Remaining columns are : Index(['Unnamed: 0', 'title', 'average_rating', 'rating_number', 'description',
       'images', 'store', 'parent_asin', 'titleDesc'],
      dtype='object')]
[ 2024-07-09 03:54:32,614  51 COMPONENTS - INFO - Lowering the case of titleDescr column]
[ 2024-07-09 03:54:32,632  55 COMPONENTS - INFO - Lowered the case of titleDesc column]
[ 2024-07-09 03:54:32,632  56 COMPONENTS - INFO - Removing Punctuations from the titleDesc column]
[ 2024-07-09 03:54:32,782  60 COMPONENTS - INFO - Removed Punctuations from the titleDesc column]
[ 2024-07-09 03:54:32,782  61 COMPONENTS - INFO - Removing stopwords from the titleDescr column]
[ 2024-07-09 03:55:33,039  65 COMPONENTS - INFO - Removed stopwords from the titleDescr column, Example value looks like : genuine leather belt men single prong metal buckle brown 4648]
[ 2024-07-09 03:55:33,039  66 COMPONENTS - INFO - Spliting the titleDescr column into list and removing duplicate words]
[ 2024-07-09 03:55:33,246  70 COMPONENTS - INFO - Splited the titleDescr column into list and removed duplicate words]
[ 2024-07-09 03:55:33,246  71 COMPONENTS - INFO - Removing all the NaN values from the titleDescr column]
[ 2024-07-09 03:55:33,379  77 COMPONENTS - INFO - Removed all NaN Values from titleDescr column]
[ 2024-07-09 03:55:33,379  78 COMPONENTS - INFO - Text Cleaning and Preprocessing completed]
[ 2024-07-09 03:55:33,379  79 COMPONENTS - INFO - Saving the transformed df into Artifact Folder]
[ 2024-07-09 03:55:34,616  83 COMPONENTS - INFO - Saved the transformed df into Artifact Folder]
[ 2024-07-09 03:55:34,616  32 COMPONENTS - INFO - Starting the training process]
[ 2024-07-09 03:55:34,616  33 COMPONENTS - INFO - Initializing W2V model with 100 feature output]
[ 2024-07-09 03:55:34,638  448 gensim.utils - INFO - Word2Vec lifecycle event {'params': 'Word2Vec<vocab=0, vector_size=100, alpha=0.03>', 'datetime': '2024-07-09T03:55:34.616496', 'gensim': '4.3.2', 'python': '3.12.0 | packaged by Anaconda, Inc. | (main, Oct  2 2023, 12:22:05) [Clang 14.0.6 ]', 'platform': 'macOS-14.2.1-arm64-arm-64bit', 'event': 'created'}]
[ 2024-07-09 03:55:34,638  45 COMPONENTS - INFO - Initialized W2V model]
[ 2024-07-09 03:55:34,638  46 COMPONENTS - INFO - Building Vocab Count]
[ 2024-07-09 03:55:34,638  582 gensim.models.word2vec - INFO - collecting all words and their counts]
