[ 2024-07-09 21:32:58,916  107 dagshub - INFO - Accessing as sanket-profile]
[ 2024-07-09 21:32:59,424  107 dagshub - INFO - Initialized MLflow to track repo "sanket-profile/recommendationSystem"]
[ 2024-07-09 21:32:59,425  107 dagshub - INFO - Repository sanket-profile/recommendationSystem initialized!]
[ 2024-07-09 21:32:59,457  21 COMPONENTS - INFO - Starting Data Ingestion]
[ 2024-07-09 21:33:00,540  25 COMPONENTS - INFO - Data Ingestion completed]
[ 2024-07-09 21:33:00,540  28 COMPONENTS - INFO - Text Cleaning and Preprocessing Started]
[ 2024-07-09 21:33:00,540  29 COMPONENTS - INFO - Removing all the NaN values from the title column]
[ 2024-07-09 21:33:00,740  35 COMPONENTS - INFO - Removed all NaN Values from title column]
[ 2024-07-09 21:33:00,740  36 COMPONENTS - INFO - Applying the function to concatenate two columns to form Single Title Description]
[ 2024-07-09 21:33:00,980  40 COMPONENTS - INFO - Function applied]
[ 2024-07-09 21:33:00,980  41 COMPONENTS - INFO - Removing duplicates]
[ 2024-07-09 21:33:00,998  45 COMPONENTS - INFO - Removed duplicates from titleDesc Column]
[ 2024-07-09 21:33:00,998  46 COMPONENTS - INFO - Dropping unnecessary Columns]
[ 2024-07-09 21:33:01,006  50 COMPONENTS - INFO - Dropped unnecessary Columns. Remaining columns are : Index(['Unnamed: 0', 'title', 'average_rating', 'rating_number', 'description',
       'images', 'store', 'parent_asin', 'titleDesc'],
      dtype='object')]
[ 2024-07-09 21:33:01,007  51 COMPONENTS - INFO - Lowering the case of titleDescr column]
[ 2024-07-09 21:33:01,021  55 COMPONENTS - INFO - Lowered the case of titleDesc column]
[ 2024-07-09 21:33:01,021  56 COMPONENTS - INFO - Removing Punctuations from the titleDesc column]
[ 2024-07-09 21:33:01,165  60 COMPONENTS - INFO - Removed Punctuations from the titleDesc column]
[ 2024-07-09 21:33:01,165  61 COMPONENTS - INFO - Removing stopwords from the titleDescr column]
[ 2024-07-09 21:33:59,894  65 COMPONENTS - INFO - Removed stopwords from the titleDescr column, Example value looks like : genuine leather belt men single prong metal buckle brown 4648]
