[ 2024-07-09 03:58:14,294  21 COMPONENTS - INFO - Starting Data Ingestion]
[ 2024-07-09 03:58:15,305  25 COMPONENTS - INFO - Data Ingestion completed]
[ 2024-07-09 03:58:15,305  28 COMPONENTS - INFO - Text Cleaning and Preprocessing Started]
[ 2024-07-09 03:58:15,305  29 COMPONENTS - INFO - Removing all the NaN values from the title column]
[ 2024-07-09 03:58:15,537  35 COMPONENTS - INFO - Removed all NaN Values from title column]
[ 2024-07-09 03:58:15,537  36 COMPONENTS - INFO - Applying the function to concatenate two columns to form Single Title Description]
[ 2024-07-09 03:58:15,773  40 COMPONENTS - INFO - Function applied]
[ 2024-07-09 03:58:15,773  41 COMPONENTS - INFO - Removing duplicates]
[ 2024-07-09 03:58:15,790  45 COMPONENTS - INFO - Removed duplicates from titleDesc Column]
[ 2024-07-09 03:58:15,790  46 COMPONENTS - INFO - Dropping unnecessary Columns]
[ 2024-07-09 03:58:15,798  50 COMPONENTS - INFO - Dropped unnecessary Columns. Remaining columns are : Index(['Unnamed: 0', 'title', 'average_rating', 'rating_number', 'description',
       'images', 'store', 'parent_asin', 'titleDesc'],
      dtype='object')]
[ 2024-07-09 03:58:15,798  51 COMPONENTS - INFO - Lowering the case of titleDescr column]
[ 2024-07-09 03:58:15,812  55 COMPONENTS - INFO - Lowered the case of titleDesc column]
[ 2024-07-09 03:58:15,812  56 COMPONENTS - INFO - Removing Punctuations from the titleDesc column]
[ 2024-07-09 03:58:15,953  60 COMPONENTS - INFO - Removed Punctuations from the titleDesc column]
[ 2024-07-09 03:58:15,954  61 COMPONENTS - INFO - Removing stopwords from the titleDescr column]
[ 2024-07-09 03:59:15,334  65 COMPONENTS - INFO - Removed stopwords from the titleDescr column, Example value looks like : genuine leather belt men single prong metal buckle brown 4648]
[ 2024-07-09 03:59:15,336  66 COMPONENTS - INFO - Spliting the titleDescr column into list and removing duplicate words]
[ 2024-07-09 03:59:15,559  70 COMPONENTS - INFO - Splited the titleDescr column into list and removed duplicate words]
[ 2024-07-09 03:59:15,559  71 COMPONENTS - INFO - Removing all the NaN values from the titleDescr column]
[ 2024-07-09 03:59:15,694  77 COMPONENTS - INFO - Removed all NaN Values from titleDescr column]
