[ 2024-07-09 04:00:32,353  21 COMPONENTS - INFO - Starting Data Ingestion]
[ 2024-07-09 04:00:33,430  25 COMPONENTS - INFO - Data Ingestion completed]
[ 2024-07-09 04:00:33,431  28 COMPONENTS - INFO - Text Cleaning and Preprocessing Started]
[ 2024-07-09 04:00:33,431  29 COMPONENTS - INFO - Removing all the NaN values from the title column]
[ 2024-07-09 04:00:33,617  35 COMPONENTS - INFO - Removed all NaN Values from title column]
[ 2024-07-09 04:00:33,617  36 COMPONENTS - INFO - Applying the function to concatenate two columns to form Single Title Description]
[ 2024-07-09 04:00:33,850  40 COMPONENTS - INFO - Function applied]
[ 2024-07-09 04:00:33,850  41 COMPONENTS - INFO - Removing duplicates]
[ 2024-07-09 04:00:33,867  45 COMPONENTS - INFO - Removed duplicates from titleDesc Column]
[ 2024-07-09 04:00:33,867  46 COMPONENTS - INFO - Dropping unnecessary Columns]
[ 2024-07-09 04:00:33,875  50 COMPONENTS - INFO - Dropped unnecessary Columns. Remaining columns are : Index(['Unnamed: 0', 'title', 'average_rating', 'rating_number', 'description',
       'images', 'store', 'parent_asin', 'titleDesc'],
      dtype='object')]
[ 2024-07-09 04:00:33,875  51 COMPONENTS - INFO - Lowering the case of titleDescr column]
[ 2024-07-09 04:00:33,889  55 COMPONENTS - INFO - Lowered the case of titleDesc column]
[ 2024-07-09 04:00:33,889  56 COMPONENTS - INFO - Removing Punctuations from the titleDesc column]
[ 2024-07-09 04:00:34,032  60 COMPONENTS - INFO - Removed Punctuations from the titleDesc column]
[ 2024-07-09 04:00:34,032  61 COMPONENTS - INFO - Removing stopwords from the titleDescr column]
[ 2024-07-09 04:01:34,198  65 COMPONENTS - INFO - Removed stopwords from the titleDescr column, Example value looks like : genuine leather belt men single prong metal buckle brown 4648]
[ 2024-07-09 04:01:34,199  66 COMPONENTS - INFO - Spliting the titleDescr column into list and removing duplicate words]
[ 2024-07-09 04:01:34,408  70 COMPONENTS - INFO - Splited the titleDescr column into list and removed duplicate words]
[ 2024-07-09 04:01:34,408  71 COMPONENTS - INFO - Removing all the NaN values from the titleDescr column]
[ 2024-07-09 04:01:34,541  77 COMPONENTS - INFO - Removed all NaN Values from titleDescr column]
[ 2024-07-09 04:01:34,541  78 COMPONENTS - INFO - Text Cleaning and Preprocessing completed]
[ 2024-07-09 04:01:34,541  79 COMPONENTS - INFO - Saving the transformed df into Artifact Folder]
[ 2024-07-09 04:01:35,765  83 COMPONENTS - INFO - Saved the transformed df into Artifact Folder]
[ 2024-07-09 04:01:35,765  32 COMPONENTS - INFO - Starting the training process]
[ 2024-07-09 04:01:35,765  33 COMPONENTS - INFO - Initializing W2V model with 100 feature output]
