[ 2024-07-09 01:44:16,721  21 COMPONENTS - INFO - Starting Data Ingestion]
[ 2024-07-09 01:44:17,790  25 COMPONENTS - INFO - Data Ingestion completed]
[ 2024-07-09 01:44:17,790  28 COMPONENTS - INFO - Text Cleaning and Preprocessing Started]
[ 2024-07-09 01:44:17,790  29 COMPONENTS - INFO - Removing all the NaN values from the title column]
[ 2024-07-09 01:44:17,988  35 COMPONENTS - INFO - Removed all NaN Values from title column]
[ 2024-07-09 01:44:17,988  36 COMPONENTS - INFO - Applying the function to concatenate two columns to form Single Title Description]
[ 2024-07-09 01:44:18,230  40 COMPONENTS - INFO - Function applied]
[ 2024-07-09 01:44:18,230  41 COMPONENTS - INFO - Removing duplicates]
[ 2024-07-09 01:44:18,248  45 COMPONENTS - INFO - Removed duplicates from titleDesc Column]
[ 2024-07-09 01:44:18,248  46 COMPONENTS - INFO - Dropping unnecessary Columns]
[ 2024-07-09 01:44:18,256  50 COMPONENTS - INFO - Dropped unnecessary Columns. Remaining columns are : Index(['Unnamed: 0', 'title', 'average_rating', 'rating_number', 'description',
       'images', 'store', 'parent_asin', 'titleDesc'],
      dtype='object')]
[ 2024-07-09 01:44:18,256  51 COMPONENTS - INFO - Lowering the case of titleDescr column]
[ 2024-07-09 01:44:18,271  55 COMPONENTS - INFO - Lowered the case of titleDesc column]
[ 2024-07-09 01:44:18,271  56 COMPONENTS - INFO - Removing Punctuations from the titleDesc column]
[ 2024-07-09 01:44:18,416  60 COMPONENTS - INFO - Removed Punctuations from the titleDesc column]
[ 2024-07-09 01:44:18,417  61 COMPONENTS - INFO - Removing stopwords from the titleDescr column]
[ 2024-07-09 01:45:17,350  65 COMPONENTS - INFO - Removed stopwords from the titleDescr column, Example value looks like : genuine leather belt men single prong metal buckle brown 4648]
[ 2024-07-09 01:45:17,351  66 COMPONENTS - INFO - Spliting the titleDescr column into list and removing duplicate words]
[ 2024-07-09 01:45:17,529  70 COMPONENTS - INFO - Splited the titleDescr column into list and removed duplicate words]
[ 2024-07-09 01:45:17,529  71 COMPONENTS - INFO - Removing all the NaN values from the titleDescr column]
[ 2024-07-09 01:45:17,668  77 COMPONENTS - INFO - Removed all NaN Values from titleDescr column]
[ 2024-07-09 01:45:17,668  78 COMPONENTS - INFO - Text Cleaning and Preprocessing completed]
[ 2024-07-09 01:45:17,668  79 COMPONENTS - INFO - Saving the transformed df into Artifact Folder]
[ 2024-07-09 01:45:18,869  83 COMPONENTS - INFO - Saved the transformed df into Artifact Folder]
[ 2024-07-09 01:45:18,869  32 COMPONENTS - INFO - Starting the training process]
[ 2024-07-09 01:45:18,869  33 COMPONENTS - INFO - Initializing W2V model with 100 feature output]
[ 2024-07-09 01:45:18,895  448 gensim.utils - INFO - Word2Vec lifecycle event {'params': 'Word2Vec<vocab=0, vector_size=100, alpha=0.03>', 'datetime': '2024-07-09T01:45:18.870180', 'gensim': '4.3.2', 'python': '3.12.0 | packaged by Anaconda, Inc. | (main, Oct  2 2023, 12:22:05) [Clang 14.0.6 ]', 'platform': 'macOS-14.2.1-arm64-arm-64bit', 'event': 'created'}]
[ 2024-07-09 01:45:18,895  45 COMPONENTS - INFO - Initialized W2V model]
