[ 2024-07-09 19:25:45,351  21 COMPONENTS - INFO - Starting Data Ingestion]
[ 2024-07-09 19:25:46,437  25 COMPONENTS - INFO - Data Ingestion completed]
[ 2024-07-09 19:25:46,438  28 COMPONENTS - INFO - Text Cleaning and Preprocessing Started]
[ 2024-07-09 19:25:46,438  29 COMPONENTS - INFO - Removing all the NaN values from the title column]
[ 2024-07-09 19:25:46,634  35 COMPONENTS - INFO - Removed all NaN Values from title column]
[ 2024-07-09 19:25:46,634  36 COMPONENTS - INFO - Applying the function to concatenate two columns to form Single Title Description]
[ 2024-07-09 19:25:46,882  40 COMPONENTS - INFO - Function applied]
[ 2024-07-09 19:25:46,882  41 COMPONENTS - INFO - Removing duplicates]
[ 2024-07-09 19:25:46,901  45 COMPONENTS - INFO - Removed duplicates from titleDesc Column]
[ 2024-07-09 19:25:46,902  46 COMPONENTS - INFO - Dropping unnecessary Columns]
[ 2024-07-09 19:25:46,910  50 COMPONENTS - INFO - Dropped unnecessary Columns. Remaining columns are : Index(['Unnamed: 0', 'title', 'average_rating', 'rating_number', 'description',
       'images', 'store', 'parent_asin', 'titleDesc'],
      dtype='object')]
[ 2024-07-09 19:25:46,910  51 COMPONENTS - INFO - Lowering the case of titleDescr column]
[ 2024-07-09 19:25:46,925  55 COMPONENTS - INFO - Lowered the case of titleDesc column]
[ 2024-07-09 19:25:46,925  56 COMPONENTS - INFO - Removing Punctuations from the titleDesc column]
[ 2024-07-09 19:25:47,073  60 COMPONENTS - INFO - Removed Punctuations from the titleDesc column]
[ 2024-07-09 19:25:47,073  61 COMPONENTS - INFO - Removing stopwords from the titleDescr column]
[ 2024-07-09 19:26:45,862  65 COMPONENTS - INFO - Removed stopwords from the titleDescr column, Example value looks like : genuine leather belt men single prong metal buckle brown 4648]
[ 2024-07-09 19:26:45,863  66 COMPONENTS - INFO - Spliting the titleDescr column into list and removing duplicate words]
[ 2024-07-09 19:26:46,069  70 COMPONENTS - INFO - Splited the titleDescr column into list and removed duplicate words]
[ 2024-07-09 19:26:46,069  71 COMPONENTS - INFO - Removing all the NaN values from the titleDescr column]
[ 2024-07-09 19:26:46,213  77 COMPONENTS - INFO - Removed all NaN Values from titleDescr column]
[ 2024-07-09 19:26:46,213  78 COMPONENTS - INFO - Text Cleaning and Preprocessing completed]
[ 2024-07-09 19:26:46,213  79 COMPONENTS - INFO - Saving the transformed df into Artifact Folder]
[ 2024-07-09 19:26:47,441  83 COMPONENTS - INFO - Saved the transformed df into Artifact Folder]
[ 2024-07-09 19:26:47,442  32 COMPONENTS - INFO - Starting the training process]
[ 2024-07-09 19:26:47,442  33 COMPONENTS - INFO - Initializing W2V model with 100 feature output]
