[ 2024-07-09 21:04:25,419  107 dagshub - INFO - Accessing as sanket-profile]
[ 2024-07-09 21:04:26,029  107 dagshub - INFO - Initialized MLflow to track repo "sanket-profile/recommendationSystem"]
[ 2024-07-09 21:04:26,030  107 dagshub - INFO - Repository sanket-profile/recommendationSystem initialized!]
[ 2024-07-09 21:04:26,443  21 COMPONENTS - INFO - Starting Data Ingestion]
[ 2024-07-09 21:04:27,493  25 COMPONENTS - INFO - Data Ingestion completed]
[ 2024-07-09 21:04:27,494  28 COMPONENTS - INFO - Text Cleaning and Preprocessing Started]
[ 2024-07-09 21:04:27,494  29 COMPONENTS - INFO - Removing all the NaN values from the title column]
[ 2024-07-09 21:04:27,697  35 COMPONENTS - INFO - Removed all NaN Values from title column]
[ 2024-07-09 21:04:27,697  36 COMPONENTS - INFO - Applying the function to concatenate two columns to form Single Title Description]
[ 2024-07-09 21:04:27,935  40 COMPONENTS - INFO - Function applied]
[ 2024-07-09 21:04:27,935  41 COMPONENTS - INFO - Removing duplicates]
[ 2024-07-09 21:04:27,953  45 COMPONENTS - INFO - Removed duplicates from titleDesc Column]
[ 2024-07-09 21:04:27,953  46 COMPONENTS - INFO - Dropping unnecessary Columns]
[ 2024-07-09 21:04:27,961  50 COMPONENTS - INFO - Dropped unnecessary Columns. Remaining columns are : Index(['Unnamed: 0', 'title', 'average_rating', 'rating_number', 'description',
       'images', 'store', 'parent_asin', 'titleDesc'],
      dtype='object')]
[ 2024-07-09 21:04:27,961  51 COMPONENTS - INFO - Lowering the case of titleDescr column]
[ 2024-07-09 21:04:27,975  55 COMPONENTS - INFO - Lowered the case of titleDesc column]
[ 2024-07-09 21:04:27,976  56 COMPONENTS - INFO - Removing Punctuations from the titleDesc column]
[ 2024-07-09 21:04:28,120  60 COMPONENTS - INFO - Removed Punctuations from the titleDesc column]
[ 2024-07-09 21:04:28,121  61 COMPONENTS - INFO - Removing stopwords from the titleDescr column]
[ 2024-07-09 21:05:26,757  65 COMPONENTS - INFO - Removed stopwords from the titleDescr column, Example value looks like : genuine leather belt men single prong metal buckle brown 4648]
[ 2024-07-09 21:05:26,758  66 COMPONENTS - INFO - Spliting the titleDescr column into list and removing duplicate words]
[ 2024-07-09 21:05:26,990  70 COMPONENTS - INFO - Splited the titleDescr column into list and removed duplicate words]
[ 2024-07-09 21:05:26,990  71 COMPONENTS - INFO - Removing all the NaN values from the titleDescr column]
[ 2024-07-09 21:05:27,127  77 COMPONENTS - INFO - Removed all NaN Values from titleDescr column]
[ 2024-07-09 21:05:27,127  78 COMPONENTS - INFO - Text Cleaning and Preprocessing completed]
[ 2024-07-09 21:05:27,127  79 COMPONENTS - INFO - Saving the transformed df into Artifact Folder]
[ 2024-07-09 21:05:28,348  83 COMPONENTS - INFO - Saved the transformed df into Artifact Folder]
[ 2024-07-09 21:05:35,965  40 COMPONENTS - INFO - Starting the training process]
[ 2024-07-09 21:05:35,965  41 COMPONENTS - INFO - Initializing W2V model with 100 feature output]
[ 2024-07-09 21:05:36,003  448 gensim.utils - INFO - Word2Vec lifecycle event {'params': 'Word2Vec<vocab=0, vector_size=100, alpha=0.03>', 'datetime': '2024-07-09T21:05:35.967171', 'gensim': '4.3.2', 'python': '3.12.0 | packaged by Anaconda, Inc. | (main, Oct  2 2023, 12:22:05) [Clang 14.0.6 ]', 'platform': 'macOS-14.2.1-arm64-arm-64bit', 'event': 'created'}]
[ 2024-07-09 21:05:36,004  53 COMPONENTS - INFO - Initialized W2V model]
[ 2024-07-09 21:05:36,004  54 COMPONENTS - INFO - Building Vocab Count]
[ 2024-07-09 21:05:36,004  582 gensim.models.word2vec - INFO - collecting all words and their counts]
[ 2024-07-09 21:05:36,004  565 gensim.models.word2vec - INFO - PROGRESS: at sentence #0, processed 0 words, keeping 0 word types]
[ 2024-07-09 21:05:36,036  565 gensim.models.word2vec - INFO - PROGRESS: at sentence #10000, processed 160956 words, keeping 23009 word types]
[ 2024-07-09 21:05:36,057  565 gensim.models.word2vec - INFO - PROGRESS: at sentence #20000, processed 317897 words, keeping 35861 word types]
[ 2024-07-09 21:05:36,075  565 gensim.models.word2vec - INFO - PROGRESS: at sentence #30000, processed 473395 words, keeping 46120 word types]
[ 2024-07-09 21:05:36,091  565 gensim.models.word2vec - INFO - PROGRESS: at sentence #40000, processed 630506 words, keeping 55382 word types]
[ 2024-07-09 21:05:36,109  565 gensim.models.word2vec - INFO - PROGRESS: at sentence #50000, processed 787077 words, keeping 63837 word types]
[ 2024-07-09 21:05:36,127  565 gensim.models.word2vec - INFO - PROGRESS: at sentence #60000, processed 945699 words, keeping 71772 word types]
[ 2024-07-09 21:05:36,145  565 gensim.models.word2vec - INFO - PROGRESS: at sentence #70000, processed 1102934 words, keeping 78867 word types]
[ 2024-07-09 21:05:36,160  588 gensim.models.word2vec - INFO - collected 85241 word types from a corpus of 1243939 raw words and 78890 sentences]
[ 2024-07-09 21:05:36,160  637 gensim.models.word2vec - INFO - Creating a fresh vocabulary]
[ 2024-07-09 21:05:36,260  448 gensim.utils - INFO - Word2Vec lifecycle event {'msg': 'effective_min_count=1 retains 85241 unique words (100.00% of original 85241, drops 0)', 'datetime': '2024-07-09T21:05:36.260836', 'gensim': '4.3.2', 'python': '3.12.0 | packaged by Anaconda, Inc. | (main, Oct  2 2023, 12:22:05) [Clang 14.0.6 ]', 'platform': 'macOS-14.2.1-arm64-arm-64bit', 'event': 'prepare_vocab'}]
[ 2024-07-09 21:05:36,260  448 gensim.utils - INFO - Word2Vec lifecycle event {'msg': 'effective_min_count=1 leaves 1243939 word corpus (100.00% of original 1243939, drops 0)', 'datetime': '2024-07-09T21:05:36.260947', 'gensim': '4.3.2', 'python': '3.12.0 | packaged by Anaconda, Inc. | (main, Oct  2 2023, 12:22:05) [Clang 14.0.6 ]', 'platform': 'macOS-14.2.1-arm64-arm-64bit', 'event': 'prepare_vocab'}]
[ 2024-07-09 21:05:36,417  745 gensim.models.word2vec - INFO - deleting the raw counts dictionary of 85241 items]
[ 2024-07-09 21:05:36,418  748 gensim.models.word2vec - INFO - sample=0.001 downsamples 38 most-common words]
[ 2024-07-09 21:05:36,418  448 gensim.utils - INFO - Word2Vec lifecycle event {'msg': 'downsampling leaves estimated 1157525.6751127427 word corpus (93.1%% of prior 1243939)', 'datetime': '2024-07-09T21:05:36.418685', 'gensim': '4.3.2', 'python': '3.12.0 | packaged by Anaconda, Inc. | (main, Oct  2 2023, 12:22:05) [Clang 14.0.6 ]', 'platform': 'macOS-14.2.1-arm64-arm-64bit', 'event': 'prepare_vocab'}]
[ 2024-07-09 21:05:36,670  805 gensim.models.word2vec - INFO - estimated required memory for 85241 words and 100 dimensions: 110813300 bytes]
[ 2024-07-09 21:05:36,670  863 gensim.models.word2vec - INFO - resetting layer weights]
