[ 2024-07-10 22:56:00,944  107 dagshub - INFO - Accessing as sanket-profile]
[ 2024-07-10 22:56:01,537  107 dagshub - INFO - Initialized MLflow to track repo "sanket-profile/recommendationSystem"]
[ 2024-07-10 22:56:01,537  107 dagshub - INFO - Repository sanket-profile/recommendationSystem initialized!]
[ 2024-07-10 22:56:05,792  68 COMPONENTS - INFO - Spliting the titleDescr column into list and removing duplicate words]
[ 2024-07-10 22:56:07,087  72 COMPONENTS - INFO - Splited the titleDescr column into list and removed duplicate words]
[ 2024-07-10 22:56:07,088  73 COMPONENTS - INFO - Text Cleaning and Preprocessing completed]
[ 2024-07-10 22:56:07,088  74 COMPONENTS - INFO - Saving the transformed df into Artifact Folder]
[ 2024-07-10 22:56:12,869  78 COMPONENTS - INFO - Saved the transformed df into Artifact Folder]
[ 2024-07-10 22:56:15,347  41 COMPONENTS - INFO - Starting the training process]
[ 2024-07-10 22:56:15,347  42 COMPONENTS - INFO - Initializing W2V model with 100 feature output]
[ 2024-07-10 22:56:15,386  448 gensim.utils - INFO - Word2Vec lifecycle event {'params': 'Word2Vec<vocab=0, vector_size=100, alpha=0.03>', 'datetime': '2024-07-10T22:56:15.348907', 'gensim': '4.3.2', 'python': '3.12.0 | packaged by Anaconda, Inc. | (main, Oct  2 2023, 12:22:05) [Clang 14.0.6 ]', 'platform': 'macOS-14.2.1-arm64-arm-64bit', 'event': 'created'}]
[ 2024-07-10 22:56:15,387  54 COMPONENTS - INFO - Initialized W2V model]
[ 2024-07-10 22:56:15,387  55 COMPONENTS - INFO - Building Vocab Count]
[ 2024-07-10 22:56:15,388  582 gensim.models.word2vec - INFO - collecting all words and their counts]
[ 2024-07-10 22:56:15,388  565 gensim.models.word2vec - INFO - PROGRESS: at sentence #0, processed 0 words, keeping 0 word types]
[ 2024-07-10 22:56:15,429  565 gensim.models.word2vec - INFO - PROGRESS: at sentence #10000, processed 303438 words, keeping 46173 word types]
[ 2024-07-10 22:56:15,465  565 gensim.models.word2vec - INFO - PROGRESS: at sentence #20000, processed 610043 words, keeping 71278 word types]
[ 2024-07-10 22:56:15,503  565 gensim.models.word2vec - INFO - PROGRESS: at sentence #30000, processed 913728 words, keeping 91650 word types]
[ 2024-07-10 22:56:15,544  565 gensim.models.word2vec - INFO - PROGRESS: at sentence #40000, processed 1214370 words, keeping 109521 word types]
[ 2024-07-10 22:56:15,583  565 gensim.models.word2vec - INFO - PROGRESS: at sentence #50000, processed 1513691 words, keeping 126267 word types]
[ 2024-07-10 22:56:15,620  565 gensim.models.word2vec - INFO - PROGRESS: at sentence #60000, processed 1816805 words, keeping 142131 word types]
[ 2024-07-10 22:56:15,656  565 gensim.models.word2vec - INFO - PROGRESS: at sentence #70000, processed 2119524 words, keeping 157531 word types]
[ 2024-07-10 22:56:15,690  565 gensim.models.word2vec - INFO - PROGRESS: at sentence #80000, processed 2421663 words, keeping 172089 word types]
[ 2024-07-10 22:56:15,728  565 gensim.models.word2vec - INFO - PROGRESS: at sentence #90000, processed 2724623 words, keeping 185895 word types]
[ 2024-07-10 22:56:15,762  565 gensim.models.word2vec - INFO - PROGRESS: at sentence #100000, processed 3026260 words, keeping 199545 word types]
[ 2024-07-10 22:56:15,797  565 gensim.models.word2vec - INFO - PROGRESS: at sentence #110000, processed 3326556 words, keeping 212364 word types]
[ 2024-07-10 22:56:15,835  565 gensim.models.word2vec - INFO - PROGRESS: at sentence #120000, processed 3625932 words, keeping 225111 word types]
[ 2024-07-10 22:56:15,873  565 gensim.models.word2vec - INFO - PROGRESS: at sentence #130000, processed 3925729 words, keeping 237810 word types]
[ 2024-07-10 22:56:15,907  565 gensim.models.word2vec - INFO - PROGRESS: at sentence #140000, processed 4228640 words, keeping 250136 word types]
[ 2024-07-10 22:56:15,942  565 gensim.models.word2vec - INFO - PROGRESS: at sentence #150000, processed 4526892 words, keeping 262135 word types]
[ 2024-07-10 22:56:15,977  565 gensim.models.word2vec - INFO - PROGRESS: at sentence #160000, processed 4830454 words, keeping 274044 word types]
[ 2024-07-10 22:56:16,012  565 gensim.models.word2vec - INFO - PROGRESS: at sentence #170000, processed 5126970 words, keeping 285384 word types]
[ 2024-07-10 22:56:16,047  565 gensim.models.word2vec - INFO - PROGRESS: at sentence #180000, processed 5426563 words, keeping 297064 word types]
[ 2024-07-10 22:56:16,082  565 gensim.models.word2vec - INFO - PROGRESS: at sentence #190000, processed 5729138 words, keeping 308306 word types]
[ 2024-07-10 22:56:16,118  565 gensim.models.word2vec - INFO - PROGRESS: at sentence #200000, processed 6026054 words, keeping 318961 word types]
[ 2024-07-10 22:56:16,154  565 gensim.models.word2vec - INFO - PROGRESS: at sentence #210000, processed 6325375 words, keeping 329759 word types]
[ 2024-07-10 22:56:16,190  565 gensim.models.word2vec - INFO - PROGRESS: at sentence #220000, processed 6622834 words, keeping 340532 word types]
[ 2024-07-10 22:56:16,191  588 gensim.models.word2vec - INFO - collected 340600 word types from a corpus of 6624516 raw words and 220039 sentences]
[ 2024-07-10 22:56:16,191  637 gensim.models.word2vec - INFO - Creating a fresh vocabulary]
